date,strategy,equity,cum_return,drawdown,daily_ret,gross_ret,cost_ret,is_entry_day,rebalance_date,signal_date,year,month_num,month,quarter,year_quarter,day_of_week,days_since_start
2020-12-02,BH_MCap10,19201.381726166423,0.9201381726166422,-0.007406252710337569,-0.007406252710337569,-0.007406252710337569,0.0,False,,,2020,12,2020-12,Q4,2020-Q4,Wednesday,321
2020-12-02,BH_QQQ,13722.648888162015,0.37226488881620146,0.0,0.0012851176350923144,0.0012851176350923144,0.0,False,,,2020,12,2020-12,Q4,2020-Q4,Wednesday,321
2020-12-02,ML_Full_CW,19338.47008009366,0.9338470080093659,0.0,0.001589786427278278,0.001589786427278278,0.0,False,2020-11-30,2020-11-30,2020,12,2020-12,Q4,2020-Q4,Wednesday,320
2020-12-02,ML_Full_EW,18885.498157866266,0.8885498157866267,0.0,0.0009824230871662877,0.0009824230871662877,0.0,False,2020-11-30,2020-11-30,2020,12,2020-12,Q4,2020-Q4,Wednesday,320
2020-12-03,BH_Full,13827.545533642699,0.3827545533642698,0.0,0.00492234836867933,0.00492234836867933,0.0,False,,,2020,12,2020-12,Q4,2020-Q4,Thursday,322
2020-12-03,BH_MCap10,19426.071535173025,0.9426071535173024,0.0,0.011701752103621343,0.011701752103621343,0.0,False,,,2020,12,2020-12,Q4,2020-Q4,Thursday,322
2020-12-03,BH_QQQ,13742.070740103196,0.3742070740103196,0.0,0.001415313624903325,0.001415313624903325,0.0,False,,,2020,12,2020-12,Q4,2020-Q4,Thursday,322
2020-12-03,ML_Full_CW,19473.693364168776,0.9473693364168776,0.0,0.006992449946405525,0.006992449946405525,0.0,False,2020-11-30,2020-11-30,2020,12,2020-12,Q4,2020-Q4,Thursday,321
2020-12-03,ML_Full_EW,19035.188376815724,0.9035188376815724,0.0,0.00792619912369669,0.00792619912369669,0.0,False,2020-11-30,2020-11-30,2020,12,2020-12,Q4,2020-Q4,Thursday,321
2020-12-04,BH_Full,13985.275254045597,0.3985275254045597,0.0,0.011406921063404907,0.011406921063404907,0.0,False,,,2020,12,2020-12,Q4,2020-Q4,Friday,323
2020-12-04,BH_MCap10,19530.37564421795,0.9530375644217952,0.0,0.005369284719047407,0.005369284719047407,0.0,False,,,2020,12,2020-12,Q4,2020-Q4,Friday,323
2020-12-04,BH_QQQ,13798.073998495316,0.3798073998495317,0.0,0.004075314372286476,0.004075314372286476,0.0,False,,,2020,12,2020-12,Q4,2020-Q4,Friday,323
2020-12-04,ML_Full_CW,19547.555543862727,0.9547555543862727,0.0,0.0037929209581711388,0.0037929209581711388,0.0,False,2020-11-30,2020-11-30,2020,12,2020-12,Q4,2020-Q4,Friday,322
2020-12-04,ML_Full_EW,19121.623703282457,0.9121623703282458,0.0,0.004540818023740133,0.004540818023740133,0.0,False,2020-11-30,2020-11-30,2020,12,2020-12,Q4,2020-Q4,Friday,322
2020-12-07,BH_Full,14052.959306827064,0.4052959306827064,0.0,0.004839665401786597,0.004839665401786597,0.0,False,,,2020,12,2020-12,Q4,2020-Q4,Monday,326
2020-12-07,BH_MCap10,19997.60474792497,0.9997604747924969,0.0,0.0239232010801258,0.0239232010801258,0.0,False,,,2020,12,2020-12,Q4,2020-Q4,Monday,326
2020-12-07,BH_QQQ,13876.20588787125,0.38762058878712513,0.0,0.0056625214058465545,0.0056625214058465545,0.0,False,,,2020,12,2020-12,Q4,2020-Q4,Monday,326
2020-12-07,ML_Full_CW,19722.870184079977,0.9722870184079977,0.0,0.008968622180091163,0.008968622180091163,0.0,False,2020-11-30,2020-11-30,2020,12,2020-12,Q4,2020-Q4,Monday,325
