rebalance_date,signal_date,entry_date,holdings,n_holdings,n_sold,n_bought,turnover_est,cost,exposure,regime_scale,defense_scale,vol_scale,dd_scale,estimated_vol,regime_score,breadth_gate,benchmark_trend_gate,anchor_used,skipped_no_hold_dates
2023-03-22,2023-03-22,2023-03-23,"['IDXX', 'JD', 'PAYX', 'NFLX', 'FAST', 'CTAS', 'XEL', 'BIIB', 'WBD', 'MELI']",10,4,4,0.4,0.00047999999999999996,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2023-04-05,2023-04-05,2023-04-06,"['JD', 'PCAR', 'IDXX', 'FAST', 'WBD', 'KHC', 'MELI', 'EBAY', 'PAYX', 'CTAS']",10,3,3,0.30000000000000004,0.00036,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2023-04-20,2023-04-20,2023-04-21,"['TSLA', 'IDXX', 'WBD', 'FAST', 'EBAY', 'PAYX', 'JD', 'MELI', 'CTAS', 'PCAR']",10,1,1,0.1,0.00011999999999999999,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2023-05-04,2023-05-04,2023-05-05,"['IDXX', 'NVDA', 'ILMN', 'ADBE', 'WBD', 'META', 'MELI', 'JD', 'TSLA', 'PAYX']",10,4,4,0.4,0.00047999999999999996,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2023-05-18,2023-05-18,2023-05-19,"['IDXX', 'AMD', 'PAYX', 'META', 'JD', 'WBD', 'MELI', 'ILMN', 'TSLA', 'ADBE']",10,1,1,0.1,0.00011999999999999999,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2023-06-02,2023-06-02,2023-06-05,"['KDP', 'PCAR', 'IDXX', 'XEL', 'AZN', 'DLTR', 'KHC', 'CTAS', 'GILD', 'PAYX']",10,8,8,0.8,0.0009599999999999999,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2023-06-16,2023-06-16,2023-06-20,"['DLTR', 'XEL', 'KDP', 'IDXX', 'AZN', 'CTAS', 'PCAR', 'GILD', 'KHC', 'PAYX']",10,0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2023-07-03,2023-07-03,2023-07-05,"['META', 'AMZN', 'AZN', 'IDXX', 'PAYX', 'CTAS', 'MELI', 'XEL', 'KHC', 'KDP']",10,3,3,0.30000000000000004,0.00036,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2023-07-18,2023-07-18,2023-07-19,"['META', 'AMD', 'ILMN', 'AVGO', 'AZN', 'MELI', 'CTAS', 'XEL', 'KHC', 'KDP']",10,3,3,0.30000000000000004,0.00036,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2023-08-01,2023-08-01,2023-08-02,"['TSLA', 'NFLX', 'MELI', 'AZN', 'EBAY', 'XEL', 'AVGO', 'KHC', 'AMD', 'CTAS']",10,3,3,0.30000000000000004,0.00036,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2023-08-15,2023-08-15,2023-08-16,"['TSLA', 'NVDA', 'AVGO', 'NFLX', 'ADBE', 'CDNS', 'META', 'SNPS', 'AMD', 'MSFT']",10,6,6,0.6856963120103937,0.0008228355744124724,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2023-08-29,2023-08-29,2023-08-30,"['ADBE', 'TSLA', 'MCHP', 'JD', 'META', 'NVDA', 'NFLX', 'PYPL', 'IDXX', 'MSFT']",10,4,4,0.5285444680155906,0.0006342533616187087,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2023-09-13,2023-09-13,2023-09-14,"['ADBE', 'META', 'MELI', 'ODFL', 'IDXX', 'MCHP', 'JD', 'NFLX', 'TSLA', 'NVDA']",10,2,2,0.2,0.00023999999999999998,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2023-09-27,2023-09-27,2023-09-28,"['NVDA', 'META', 'ORCL', 'TSLA', 'IDXX', 'ADBE', 'JD', 'MCHP', 'NFLX', 'MELI']",10,1,1,0.1,0.00011999999999999999,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
